date,machine_name,region_id,sex,genotype,compound,vial_date,start_hour,concentration
24/01/2022,ETHOSCOPE_125,1,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,2,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,3,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,4,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,5,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,6,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,7,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,8,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,9,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,10,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,11,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,12,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,13,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,14,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,15,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,16,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,17,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,18,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,19,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,20,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,21,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,22,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,23,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
24/01/2022,ETHOSCOPE_125,24,male,CS,Syn_cpd_3,2022-01-10_20220113,ZT0,100
11/01/2022,ETHOSCOPE_254,1,male,CS,Syn_cpd_3,28/12/2021,ZT0,100
11/01/2022,ETHOSCOPE_254,2,male,CS,Syn_cpd_3,28/12/2021,ZT0,100
11/01/2022,ETHOSCOPE_254,3,male,CS,Syn_cpd_3,28/12/2021,ZT0,100
11/01/2022,ETHOSCOPE_254,4,male,CS,Syn_cpd_3,28/12/2021,ZT0,100
11/01/2022,ETHOSCOPE_254,5,male,CS,Syn_cpd_3,28/12/2021,ZT0,100
11/01/2022,ETHOSCOPE_254,6,male,CS,Syn_cpd_3,28/12/2021,ZT0,100
11/01/2022,ETHOSCOPE_254,7,male,CS,Syn_cpd_3,28/12/2021,ZT0,100
11/01/2022,ETHOSCOPE_254,8,male,CS,Syn_cpd_3,28/12/2021,ZT0,100
