date,machine_name,region_id,sex,genotype,compound,vial_date,start_hour,concentration,baseline_days
2021-06-02,ETHOSCOPE_148,1,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,2,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,3,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,4,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,5,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,6,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,7,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,8,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,9,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,10,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,11,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,12,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,13,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,14,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,15,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,16,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,17,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,18,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,19,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,20,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,21,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,22,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,23,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-02,ETHOSCOPE_148,24,male,CS,ryanodine,19/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,1,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,2,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,3,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,4,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,5,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,6,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,7,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,8,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,9,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,10,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,11,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,12,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,13,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,14,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,15,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,16,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,17,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,18,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,19,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,20,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,21,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,22,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,23,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-08,ETHOSCOPE_258,24,male,CS,ryanodine,26/05/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,1,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,2,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,3,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,4,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,5,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,6,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,7,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,8,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,9,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,10,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,11,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,12,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,13,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,14,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,15,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,16,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,17,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,18,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,19,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,20,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,21,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,22,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,23,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_108,24,male,CS,spirindoline,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,1,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,2,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,3,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,4,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,5,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,6,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,7,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,8,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,9,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,10,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,11,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,12,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,13,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,14,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,15,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,16,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,17,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,18,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,19,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,20,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,21,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,22,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,23,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-23,ETHOSCOPE_261,24,male,CS,abamectin,11/06/2021,ZT0,1,0
2021-06-29,ETHOSCOPE_257,1,male,CS,abamectin,15/06/2021,ZT0,1,0
