date,machine_name,region_id,sex,genotype,compound,vial_date,start_hour,concentration
2022-02-03,ETHOSCOPE_109,1,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,2,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,3,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,4,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,5,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,6,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,7,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,8,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,9,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,10,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,11,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,12,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,13,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,14,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,15,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,16,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,17,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,18,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,19,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,20,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,21,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,22,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,23,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_109,24,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_148,1,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_148,2,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_148,3,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_148,4,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_148,5,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_148,6,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_148,7,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_148,8,male,rdl_mutant,solvent,21/01/2022,ZT0,100
2022-02-03,ETHOSCOPE_148,9,male,rdl_mutant,solvent,21/01/2022,ZT0,100
