experiment_date,ethoscope_id,sex,pair_id,focal_tube,yoked_tube,skip_rows,label,reason_tag,reason_note,reason_tag_secondary,reason_note_secondary,confidence_human
9-Feb-2026,Eth008,Male,1,1,12,39,Good,pass_qc,,,,
9-Feb-2026,Eth008,Male,2,3,14,39,Good,pass_qc,,,,
9-Feb-2026,Eth008,Male,3,5,16,39,Good,pass_qc,,,,
9-Feb-2026,Eth008,Male,4,7,18,39,Good,pass_qc,,,,
9-Feb-2026,Eth008,Male,5,9,20,39,Good,pass_qc,,,,
9-Feb-2026,Eth010,Male,1,1,12,39,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
9-Feb-2026,Eth010,Male,2,3,14,39,Bad,recovery_period_anomaly,Recovery period shows activeness for too long vs expected,tracking_error,Ethoscope device somewhat noisy; may contribute to mis-read of wake/sleep,High
9-Feb-2026,Eth010,Male,3,5,16,39,Good,pass_qc,,,,
9-Feb-2026,Eth010,Male,4,7,18,39,Bad,arrhythmic,"No 12-hour rhythmic pattern visible till day 5, likely tracking issue",tracking_error,Ethoscope noisy; tracking issue called out in primary assessment,High
9-Feb-2026,Eth010,Male,5,9,20,39,Bad,arrhythmic,"No 12-hour rhythmic pattern, tracking issue same as P4",tracking_error,Ethoscope noisy; tracking issue called out in primary assessment,High
9-Feb-2026,Eth007,Female,1,1,12,39,Bad,arrhythmic,"Flat activeness in daylight first half between day 4-5, unusual pattern",,,High
9-Feb-2026,Eth007,Female,2,3,14,39,Bad,arrhythmic,"Flat activeness in daylight first half between day 4-5, unusual pattern",,,High
9-Feb-2026,Eth007,Female,3,5,16,39,Bad,arrhythmic,"Flat activeness in daylight first half between day 4-5, unusual pattern",,,High
9-Feb-2026,Eth007,Female,4,7,18,39,Bad,arrhythmic,"Flat activeness in daylight first half between day 4-5, unusual pattern",,,High
9-Feb-2026,Eth007,Female,5,9,20,39,Bad,arrhythmic,"Flat activeness in daylight first half between day 4-5, unusual pattern",,,High
9-Feb-2026,Eth014,Female,1,1,12,39,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
9-Feb-2026,Eth014,Female,2,3,14,39,Bad,arrhythmic,Flat activeness in first half of daylight between day 4-5,,,High
9-Feb-2026,Eth014,Female,3,5,16,39,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
9-Feb-2026,Eth014,Female,4,7,18,39,Bad,arrhythmic,Flat activeness in daylight between day 4-5 and data also missing,,,High
9-Feb-2026,Eth014,Female,5,9,20,39,Bad,recovery_period_anomaly,Recovery period shows activeness for too long vs expected,tracking_error,Ethoscope device somewhat noisy; may contribute to mis-read of wake/sleep,High
17-Mar-2026,Eth007,Male,1,1,12,37,Bad,flat_signal,"From day 2 onward, daytime first half shows too long a flat line (low activeness when activity expected)",,,High
17-Mar-2026,Eth007,Male,2,3,14,37,Bad,flat_signal,"From day 2 onward, daytime first half shows too long a flat line (low activeness when activity expected)",,,High
17-Mar-2026,Eth007,Male,3,5,16,37,Bad,corrupted_data,Pattern and rhythm wildly odd from day 3; yoked line completely overlapping with focal,,,High
17-Mar-2026,Eth007,Male,4,7,18,37,Bad,flat_signal,"From day 2 onward, daytime first half shows too long a flat line (low activeness when activity expected)",,,High
17-Mar-2026,Eth007,Male,5,9,20,37,Bad,missing_data,Incomplete / missing data segments,no_sleep_deprivation,No sleep deprivation observed in pair,High
17-Mar-2026,Eth008,Male,1,1,12,37,Good,pass_qc,,,,
17-Mar-2026,Eth008,Male,2,3,14,37,Good,pass_qc,,,,
17-Mar-2026,Eth008,Male,3,5,16,37,Bad,corrupted_data,"Data between day 4-5 is weirdest, implausible values",,,High
17-Mar-2026,Eth008,Male,4,7,18,37,Good,pass_qc,,,,
17-Mar-2026,Eth008,Male,5,9,20,37,Good,pass_qc,,,,
17-Mar-2026,Eth009,Male,1,1,12,37,Bad,arrhythmic,Yoked and focal in opposite states for very long period; no activity at light-dark transition,,,High
17-Mar-2026,Eth009,Male,2,3,14,37,Bad,flat_signal,Same as Eth007 P1 (17-Mar): long flat line in daytime first half from day 2,,,High
17-Mar-2026,Eth009,Male,3,5,16,37,Good,pass_qc,,,,
17-Mar-2026,Eth009,Male,4,7,18,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
17-Mar-2026,Eth009,Male,5,9,20,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
17-Mar-2026,Eth010,Male,1,1,12,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
17-Mar-2026,Eth010,Male,2,3,14,37,Bad,corrupted_data,Yoked data wrong,,,High
17-Mar-2026,Eth010,Male,3,5,16,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
17-Mar-2026,Eth010,Male,4,7,18,37,Good,pass_qc,,,,
17-Mar-2026,Eth010,Male,5,9,20,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
17-Mar-2026,Eth011,Male,1,1,12,37,Good,pass_qc,,,,
17-Mar-2026,Eth011,Male,2,3,14,37,Good,pass_qc,,,,
17-Mar-2026,Eth011,Male,3,5,16,37,Bad,missing_data,Missing night data at end; night data between day 4-5 not correct,,,High
17-Mar-2026,Eth011,Male,4,7,18,37,Good,pass_qc,,,,
17-Mar-2026,Eth011,Male,5,9,20,37,Good,pass_qc,,,,
17-Mar-2026,Eth012,Male,1,1,12,37,Bad,missing_data,No data at all,,,High
17-Mar-2026,Eth012,Male,2,3,14,37,Bad,flat_signal,Longer flat lines in activeness and sleep; data missing after day 3,tracking_error,Long flat segments often reflect noisy tracking; data missing after day 3,High
17-Mar-2026,Eth012,Male,3,5,16,37,Good,pass_qc,,,,
17-Mar-2026,Eth012,Male,4,7,18,37,Good,pass_qc,,,,
17-Mar-2026,Eth012,Male,5,9,20,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
17-Mar-2026,Eth013,Male,1,1,12,37,Bad,corrupted_data,After day 4 data swings to extreme lowest/highest values only (implausible),no_sleep_deprivation,No sleep deprivation observed in pair,High
17-Mar-2026,Eth013,Male,2,3,14,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
17-Mar-2026,Eth013,Male,3,5,16,37,Bad,no_sleep_deprivation,No sleep deprivation observed in pair,,,High
17-Mar-2026,Eth013,Male,4,7,18,37,Bad,missing_data,No data at all,,,High
