date,machine_name,region_id,sex,genotype,compound,vial_date,start_hour,concentration,baseline_days
2020-09-07,ETHOSCOPE_218,1,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,2,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,3,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,4,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,5,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,6,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,7,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,8,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,9,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,10,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,11,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,12,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,13,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,14,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,15,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,16,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,17,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,18,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,19,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,20,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,21,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,22,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,23,male,CS,solvent,26/08/2020,ZT1,100,0
2020-09-07,ETHOSCOPE_218,24,male,CS,solvent,26/08/2020,ZT1,100,0
2020-07-04,ETHOSCOPE_197,1,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,2,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,3,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,4,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,5,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,6,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,7,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,8,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,9,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,10,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,11,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,12,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,13,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,14,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,15,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,16,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,17,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,18,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,19,male,CS,solvent,19/06/2020,ZT0,100,0
2020-07-04,ETHOSCOPE_197,20,male,CS,solvent,19/06/2020,ZT0,100,0
